stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
"de:09179:6536:1:2-Hst","Germering, Hochrainweg","48.14118973","11.35850507","","de:09179:6536"
"de:09179:6606","Germering, GEP","48.13738912","11.37453999","1",""
"de:09179:6606:1:1-Hst","Germering, GEP","48.13743708","11.37451304","","de:09179:6606"
"de:09179:6606:2:2-Hst","Germering, GEP","48.13735315","11.37450406","","de:09179:6606"
"de:09184:2013","Unterföhring, Lohwiesenweg","48.18575098","11.63768349","1",""
"de:09184:2013:1:1-Hst","Unterföhring, Lohwiesenweg","48.18583483","11.63717145","","de:09184:2013"
"de:09184:2013:2:2-Hst","Unterföhring, Lohwiesenweg","48.18567312","11.63833028","","de:09184:2013"
"de:09184:2030","Unterföhring Bf.","48.19023073","11.64690021","1",""
"de:09184:2030:2:2-Hst","Unterföhring Bf.","48.19147636","11.64783445","","de:09184:2030"
"de:09184:2054","Dirnismaning,Kranzberger Allee","48.22777812","11.64039640","1",""
"de:09184:2054:1:1-Hst","Dirnismaning,Kranzberger Allee","48.22677873","11.63989335","","de:09184:2054"
"de:09184:2054:2:2-Hst","Dirnismaning,Kranzberger Allee","48.22892111","11.64096234","","de:09184:2054"
"de:09184:2090","Unterföhring, Siedlerstraße","48.18382241","11.63356921","1",""
"de:09184:2090:1:1-Hst","Unterföhring, Siedlerstraße","48.18383439","11.63370395","","de:09184:2090"
"de:09184:2090:2:2-Hst","Unterföhring, Siedlerstraße","48.18380445","11.63340751","","de:09184:2090"
"de:09184:2092","Unterföhring, Alte MünchnerStr","48.18839216","11.63666839","1",""
"de:09184:2092:1:1-Hst","Unterföhring, Alte MünchnerStr","48.18835623","11.63681212","","de:09184:2092"
"de:09184:2092:2:2-Hst","Unterföhring, Alte MünchnerStr","48.18844007","11.63648873","","de:09184:2092"
"de:09184:2096","Unterföhring, Bergstraße","48.19500350","11.64318118","1",""
"de:09184:2096:1:1-Hst","Unterföhring, Bergstraße","48.19523105","11.64374712","","de:09184:2096"
"de:09184:2096:2:2-Hst","Unterföhring, Bergstraße","48.19475200","11.64257931","","de:09184:2096"
"de:09184:2098","Unterföhring, Ahornstraße","48.19652447","11.64613664","1",""
"de:09184:2098:1:1-Hst","Unterföhring, Ahornstraße","48.19630890","11.64593002","","de:09184:2098"
"de:09184:2098:2:2-Hst","Unterföhring, Ahornstraße","48.19675800","11.64628037","","de:09184:2098"
"de:09184:2100","Unterföhring, Fichtenstraße","48.19887170","11.64919989","1",""
"de:09184:2100:1:1-Hst","Unterföhring, Fichtenstraße","48.19887170","11.64919989","","de:09184:2100"
"de:09184:2101","Unterföhring, Feringastr. Ost","48.17826390","11.63600364","1",""
"de:09184:2101:1:1-Hst","Unterföhring, Feringastr.Ost","48.17823994","11.63588686","","de:09184:2101"
"de:09184:2101:2:2-Hst","Unterföhring, Feringastr.Ost","48.17848553","11.63539279","","de:09184:2101"
"de:09184:2102","Unterföhring, Feringastraße","48.17992912","11.63122460","1",""
"de:09184:2102:1:1-Hst","Unterföhring, Feringastraße","48.17990516","11.63134138","","de:09184:2102"
"de:09184:2102:2:2-Hst","Unterföhring, Feringastraße","48.17994110","11.63110782","","de:09184:2102"
"de:09184:2102:3:3-Hst","Unterföhring, Feringastraße","48.17901266","11.63278767","","de:09184:2102"
"de:09184:2107","Unterföhring, Gutenbergstraße","48.19119490","11.65034075","1",""
"de:09184:2107:1:1-Hst","Unterföhring, Gutenbergstraße","48.19111106","11.65072703","","de:09184:2107"
"de:09184:2168","Haar, Ludwig-Moser-Straße","48.10988326","11.71990629","1",""
"de:09184:2168:1:1-Hst","Haar, Ludwig-Moser-Straße","48.10983527","11.71987934","","de:09184:2168"
